feature,importance_mean,importance_std,mean_abs_shap
Area_km2,0.005628124964039171,0.0008140769300953276,0.3294805973491732
BareLand,0.13931762814346238,0.003357409683887342,6.8170567311334045
Builtup,0.009985615320423864,0.0014738077933595948,0.4507039096757047
Cropland,0.06470298894749069,0.002030784730882882,2.8347880950986397
District_Aligarh,0.0029091135730274407,0.0005781269244396731,0.08237891164272944
District_Allahabad,0.0011274428351798556,0.0004460080441138787,0.08108596225201094
District_Ambedkar Nagar,0.0008091343479550279,0.00015523846386029144,0.03662221256365164
District_Auraiya,0.0014986857285575138,0.00029340333422227797,0.0483313381419521
District_Azamgarh,0.002279053930046741,0.0004250834717999325,0.06204921382880187
District_Badaun,0.0024760215662210055,0.0007071452370879749,0.10776266875467122
District_Baghpat,0.0008699437685973995,0.0003645178876977059,0.03343496511159009
District_Bahraich,0.0021257756735692784,0.00043372770960357893,0.07483588206500826
District_Ballia,0.0006003245800609032,0.00040579817661310947,0.06044180973380795
District_Balrampur,0.0015490911084868589,0.0005212117455035606,0.07910375515027791
District_Banda,0.001954303064371447,0.00036779639440840723,0.08562911775871786
District_Bara Banki,0.0018442489393093971,0.0005391769000310659,0.052994215927688326
District_Bareilly,0.0007663615933483673,0.0003680195884203533,0.04802458576824661
District_Basti,0.0017107780566476697,0.00037275349201937357,0.05483169500356705
District_Bijnor,0.0005564921748609341,0.0004410187485061941,0.07338066899597473
District_Bulandshahr,0.002102622088394024,0.00048819195403879465,0.05605365710629945
District_Chandauli,-5.8623459871361604e-05,0.00021986459664193327,0.029009957731363358
District_Chitrakoot,0.001041223118799343,0.00036339446091607805,0.057636725275571926
District_Deoria,0.002259824076680328,0.0003268103010674651,0.06173578494526951
Grassland,0.025365509202863904,0.00136518523035836,1.1341764100240919
NDVI_mean,0.14296895851991376,0.004066506531348132,4.926873503253423
Rainfall_mean,0.2487669160908749,0.002803217318656619,8.906361254728845
Shrubland,0.00232622333560654,0.0004351475521058419,0.09031541177547159
SoilMoisture_mean,0.2218852971918248,0.0033520751429129488,7.792812804480506
Temperature_mean,0.3899263609977734,0.005238874621776569,15.305475225956323
TreeCover,0.12215246205869293,0.002842495110091225,5.534282917916417
Water,0.010648449086094962,0.0011690149183861422,0.5979687893928977
Wetland,0.0005774470219024775,0.00026501026025185597,0.024853797346763514
