feature,mean_abs_shap
Temperature_mean,15.305475225956323
Rainfall_mean,8.906361254728845
SoilMoisture_mean,7.792812804480506
BareLand,6.8170567311334045
TreeCover,5.534282917916417
NDVI_mean,4.926873503253423
Cropland,2.8347880950986397
Grassland,1.1341764100240919
Water,0.5979687893928977
Builtup,0.4507039096757047
Area_km2,0.3294805973491732
District_Badaun,0.10776266875467122
Shrubland,0.09031541177547159
District_Banda,0.08562911775871786
District_Aligarh,0.08237891164272944
District_Allahabad,0.08108596225201094
District_Balrampur,0.07910375515027791
District_Bahraich,0.07483588206500826
District_Bijnor,0.07338066899597473
District_Azamgarh,0.06204921382880187
District_Deoria,0.06173578494526951
District_Ballia,0.06044180973380795
District_Chitrakoot,0.057636725275571926
District_Bulandshahr,0.05605365710629945
District_Basti,0.05483169500356705
District_Bara Banki,0.052994215927688326
District_Auraiya,0.0483313381419521
District_Bareilly,0.04802458576824661
District_Ambedkar Nagar,0.03662221256365164
District_Baghpat,0.03343496511159009
District_Chandauli,0.029009957731363358
Wetland,0.024853797346763514
